instancia,alpha,tempMin,tempInicial,semilla,fo_inicial,fo_final,fines_semana_libres,iteraciones_sa
N10-10.txt,0.53,0.05,100000,2114,204,8,2,230000
N50-6.txt,0.53,0.05,100000,2114,299,105,35,230000
N40-6.txt,0.53,0.05,100000,2114,294,52,24,230000
N10-9.txt,0.53,0.05,100000,2114,200,12,1,230000
N50-7.txt,0.53,0.05,100000,2114,1287,47,13,230000
NPlus-1.txt,0.53,0.05,100000,2114,878,39,25,230000
N10-7.txt,0.53,0.05,100000,2114,158,12,6,230000
N40-4.txt,0.53,0.05,100000,2114,444,44,19,230000
NPlus-3.txt,0.53,0.05,100000,2114,1158,60,21,230000
NPlus-2.txt,0.53,0.05,100000,2114,1325,62,12,230000
N30-1.txt,0.53,0.05,100000,2114,205,21,20,230000
N10-6.txt,0.53,0.05,100000,2114,198,9,3,230000
N30-9.txt,0.53,0.05,100000,2114,746,35,7,230000
N20-3.txt,0.53,0.05,100000,2114,489,20,5,230000
N50-4.txt,0.53,0.05,100000,2114,1311,41,13,230000
N10-8.txt,0.39,0.05,100000,2115,71,15,9,160000
N50-5.txt,0.39,0.05,100000,2115,1312,56,13,160000
N40-5.txt,0.39,0.05,100000,2115,149,32,30,160000
N20-2.txt,0.39,0.05,100000,2115,492,18,5,160000
N30-2.txt,0.39,0.05,100000,2115,771,38,5,160000
N40-8.txt,0.39,0.05,100000,2115,1021,81,6,160000
N50-9.txt,0.39,0.05,100000,2115,1290,51,13,160000
N40-7.txt,0.39,0.05,100000,2115,194,73,33,160000
N50-8.txt,0.39,0.05,100000,2115,1288,66,10,160000
N20-10.txt,0.39,0.05,100000,2115,469,33,2,160000
N20-1.txt,0.39,0.05,100000,2115,366,20,8,160000
N30-10.txt,0.39,0.05,100000,2115,378,58,15,160000
N30-8.txt,0.39,0.05,100000,2115,745,27,7,160000
N20-9.txt,0.39,0.05,100000,2115,139,38,11,160000
N10-10.txt,0.39,0.05,100000,2115,204,10,2,160000
N50-6.txt,0.39,0.05,100000,2115,299,104,35,160000
N40-6.txt,0.39,0.05,100000,2115,294,61,25,160000
N10-9.txt,0.39,0.05,100000,2115,200,9,3,160000
N50-7.txt,0.39,0.05,100000,2115,1287,55,10,160000
NPlus-1.txt,0.39,0.05,100000,2115,878,48,25,160000
N10-7.txt,0.39,0.05,100000,2115,158,14,6,160000
N40-4.txt,0.39,0.05,100000,2115,444,46,18,160000
NPlus-3.txt,0.39,0.05,100000,2115,1158,50,20,160000
NPlus-2.txt,0.39,0.05,100000,2115,1325,66,8,160000
